,id,imdb_id,production_company
3,12911.0,tt0113283,Cinemax Reel Life
4,12912.0,tt0113283,InPictures
5,12913.0,tt0113283,Lafayette Films
0,5.0,tt0115907,Columbia Pictures
1,97.0,tt0115907,Castle Rock Entertainment
0,18.0,tt0115734,Gracie Films
1,441.0,tt0115734,Columbia Pictures Corporation
0,9195.0,tt0117102,Touchstone Pictures
0,8411.0,tt0118040,Metro-Goldwyn-Mayer (MGM)
1,10308.0,tt0118040,Dino De Laurentiis Company
2,10355.0,tt0118040,Spelling Films
0,33.0,tt0116483,Universal Pictures
1,1606.0,tt0116483,Brillstein-Grey Entertainment
2,3929.0,tt0116483,Robert Simonds Productions
0,56.0,tt0112579,Amblin Entertainment
1,171.0,tt0112579,Malpaso Productions
2,6194.0,tt0112579,Warner Bros.
0,2.0,tt0117110,Walt Disney Pictures
1,2504.0,tt0117110,Jim Henson Productions
2,6254.0,tt0117110,"Jim Henson Company, The"
0,4564.0,tt0112573,Icon Entertainment International
1,7965.0,tt0112573,The Ladd Company
2,11353.0,tt0112573,B.H. Finance C.V.
0,441.0,tt0075314,Columbia Pictures Corporation
1,46059.0,tt0075314,Italo/Judeo Productions
2,46060.0,tt0075314,Bill/Phillips
0,12.0,tt0113326,New Line Cinema
1,2521.0,tt0113326,Golden Harvest Company
0,175.0,tt0115645,Caravan Pictures
1,915.0,tt0115645,Hollywood Pictures
0,806.0,tt0113774,Téléfilm Canada
1,2055.0,tt0113774,Skyline Films
2,3498.0,tt0113774,Malofilm
3,9116.0,tt0113774,Société de Développement des Entreprises Culturelles (SODEC)
4,12745.0,tt0113774,British Screen Productions
5,17027.0,tt0113774,National Film Board of Canada (NFB)
6,22150.0,tt0113774,imX Communications
7,38673.0,tt0113774,Glace Bay Pictures
8,38674.0,tt0113774,Ciné Télé Action
9,40534.0,tt0113774,Nova Scotia Film Development Corporation
10,85045.0,tt0113774,Ranfilm
0,83.0,tt0112556,France 2 Cinéma
1,591.0,tt0112556,France 3 Cinéma
2,694.0,tt0112556,StudioCanal
3,883.0,tt0112556,Les Productions du Champ Poirier
4,885.0,tt0112556,Téléma Productions
0,3236.0,tt0115033,Bavaria Film and Television Fund
0,559.0,tt0116606,TriStar Pictures
1,11061.0,tt0116606,Motion Picture Corporation of America (MPCA)
0,11308.0,tt0114536,Savoy Pictures
0,559.0,tt0117427,TriStar Pictures
0,4.0,tt0103859,Paramount Pictures
0,540.0,tt0109424,Jet Tone Production
1,10932.0,tt0109424,The Criterion Collection
0,371.0,tt0114808,Cecchi Gori Group Tiger Cinematografica
0,14.0,tt0116324,Miramax Films
0,264.0,tt0110647,Studio Babelsberg
1,1766.0,tt0110647,Dieter Geissler Filmproduktion
2,1979.0,tt0110647,Cinevox Filmproduktion GmbH
3,6194.0,tt0110647,Warner Bros.
4,53009.0,tt0110647,Miramax
0,22029.0,tt0111055,Canal Horizons
1,22618.0,tt0111055,Mat Films
2,71842.0,tt0111055,Cinétéléfilms
0,8.0,tt0113107,Fine Line Features
1,181.0,tt0113107,Channel Four Films
2,1898.0,tt0113107,Bórd Scannán na hÉireann
3,5358.0,tt0113107,Canal+
0,4.0,tt0113451,Paramount Pictures
0,93488.0,tt0114015,Cigua Films
1,93489.0,tt0114015,D'Pelicula
0,306.0,tt0116130,Twentieth Century Fox Film Corporation
0,68229.0,tt0113125,Couch Potatoe Productions
0,181.0,tt0113952,Channel Four Films
1,38778.0,tt0113952,Academy
2,94477.0,tt0113952,Mayfair Films
3,94478.0,tt0113952,Iberoamerica Films
0,1504.0,tt0118055,Cinergi Pictures Entertainment
1,9195.0,tt0118055,Touchstone Pictures
0,60.0,tt0115685,United Artists
0,43.0,tt0112585,Fox Searchlight Pictures
0,5.0,tt0112442,Columbia Pictures
1,10288.0,tt0112442,Don Simpson/Jerry Bruckheimer Films
0,6194.0,tt0112342,Warner Bros.
0,12.0,tt0112461,New Line Cinema
1,3492.0,tt0112461,Island Pictures
0,8.0,tt0112427,Fine Line Features
1,5996.0,tt0112427,BBC
2,12745.0,tt0112427,British Screen Productions
3,16027.0,tt0112427,Portman Productions
0,181.0,tt0109093,Channel Four Films
1,3644.0,tt0109093,Zenith Entertainment
2,3906.0,tt0109093,American Playhouse
3,7248.0,tt0109093,Union Générale Cinématographique (UGC)
4,16366.0,tt0109093,La Sept Cinéma
5,37909.0,tt0109093,True Fiction Pictures
0,23.0,tt0112384,Imagine Entertainment
1,33.0,tt0112384,Universal Pictures
0,60.0,tt0114287,United Artists
1,8989.0,tt0114287,Talisman Productions
0,236.0,tt0112288,October Films
1,1214.0,tt0112288,Guild
2,5353.0,tt0112288,Fastnet Films
0,6194.0,tt0112462,Warner Bros.
1,31080.0,tt0112462,Polygram Filmed Entertainment
0,386.0,tt0061395,Paris Films Productions
1,387.0,tt0061395,Five Films
2,11290.0,tt0061395,Robert et Raymond Hakim
0,5.0,tt0112495,Columbia Pictures
1,97.0,tt0112495,Castle Rock Entertainment
0,14.0,tt0112541,Miramax Films
1,30334.0,tt0112541,InterAL
0,1382.0,tt0109370,PolyGram Filmed Entertainment
0,33.0,tt0112642,Universal Pictures
1,56.0,tt0112642,Amblin Entertainment
2,11098.0,tt0112642,The Harvey Entertainment Company
0,33.0,tt0112688,Universal Pictures
1,4319.0,tt0112688,40 Acres & A Mule Filmworks
0,4.0,tt0112715,Paramount Pictures
1,7383.0,tt0112715,"Kennedy/Marshall Company, The"
0,915.0,tt0112740,Hollywood Pictures
1,10288.0,tt0112740,Don Simpson/Jerry Bruckheimer Films
0,4532.0,tt0109508,Superior Pictures
0,5.0,tt0112851,Columbia Pictures
1,11705.0,tt0112851,Los Hooligans Productions
0,559.0,tt0112857,TriStar Pictures
1,2510.0,tt0112857,Mundy Lane Entertainment
0,306.0,tt0112864,Twentieth Century Fox Film Corporation
1,1504.0,tt0112864,Cinergi Pictures Entertainment
0,729.0,tt0112887,Why Not Productions
1,1474.0,tt0112887,Desperate Pictures
